,카테고리,유사도,빈도,드라마,코미디,액션,스릴러,로맨스,호러,판타지,미스터리,애니메이션,다큐멘터리,뮤지컬,전쟁,범죄,과학,모험,서부,가족,스포츠,역사,누아르
보통,액션,0.3971783,1,0.15153447,0.20268865,0.3971783,0.14917852,0.14984652,0.3822138,0.15744849,0.09191533,0.19066,0.1450475,0.13746455,0.32957536,0.2869643,0.3335849,0.2475302,0.31362435,0.3113304,0.0966475,0.34288454,0.26237717
사람,가족,0.52478045,19,0.15809955,0.13727541,0.31947652,0.101609334,0.20922509,0.31246698,0.1793082,0.11466215,0.15531157,0.18094067,0.1709623,0.3086175,0.3732463,0.3364547,0.31853682,0.3184384,0.52478045,0.07498618,0.357588,0.25147077
우주,과학,0.69296163,12,0.32967404,0.26677,0.49362853,0.27385926,0.30383134,0.5089173,0.43968403,0.39890495,0.34724396,0.34656474,0.29929224,0.563571,0.38869736,0.69296163,0.55701673,0.3575751,0.5237401,0.23897126,0.48157173,0.28551105
환상,모험,0.5083457,1,0.29824394,0.26298535,0.39690343,0.28950888,0.43108723,0.48146006,0.41011044,0.35304442,0.23606966,0.20033321,0.28018838,0.3684873,0.50305253,0.45754236,0.5083457,0.3738126,0.43834358,0.16758454,0.4371547,0.40619123
세계,역사,0.5730672,1,0.23600657,0.16572315,0.41680935,0.20135416,0.2123053,0.33697465,0.29683393,0.2501649,0.27442354,0.3251061,0.22820477,0.5488742,0.4311998,0.5727545,0.40676662,0.5229161,0.4736772,0.29685515,0.5730672,0.20369649
아름다움,판타지,0.37961105,1,0.22635357,0.14617449,0.20574519,0.22052422,0.3597688,0.15536015,0.37961105,0.23135751,0.19775642,0.19948094,0.23432364,0.16257818,0.11770442,0.2562803,0.31745723,0.058439568,0.22981256,0.18653612,0.21708623,0.32054296
신비,모험,0.5802322,2,0.20536374,0.14687909,0.36683035,0.1842933,0.22120818,0.3619075,0.32968324,0.42157757,0.106720105,0.27193227,0.22229172,0.3590769,0.35010517,0.53131837,0.5802322,0.26652768,0.4050463,0.19861004,0.51516396,0.25061426
영화,액션,0.6765499,44,0.67342174,0.6080311,0.6765499,0.5074776,0.5274525,0.67187756,0.5434469,0.3832695,0.56262356,0.6165508,0.56051254,0.59679323,0.53102314,0.54287666,0.55871964,0.49642006,0.5240613,0.4162291,0.55673486,0.5268668
장소,가족,0.5672726,1,0.18024333,0.14019248,0.36451358,0.15789422,0.19848588,0.36018968,0.23640594,0.20505017,0.21064408,0.24512851,0.2484868,0.37948826,0.4134933,0.40619755,0.46224177,0.44977692,0.5672726,0.26273912,0.46095622,0.29221854
배경,역사,0.6499323,7,0.31176034,0.2592118,0.49603435,0.18485822,0.22225073,0.4777475,0.26261356,0.22647944,0.39258322,0.2809639,0.24623962,0.5137654,0.43336076,0.47525367,0.5115354,0.34491742,0.45773253,0.16926818,0.6499323,0.3803063
전통,역사,0.5825215,1,0.18635727,0.25778538,0.39887783,0.1291016,0.21602835,0.4470995,0.33819616,0.1919116,0.2880948,0.30404156,0.25942916,0.36821574,0.30464274,0.4767349,0.3642131,0.40753466,0.4336382,0.32540372,0.5825215,0.37656754
구출,모험,0.58339036,3,0.23455924,0.24015044,0.50218266,0.29522458,0.24192987,0.4556681,0.19044787,0.4030883,0.2206598,0.33829123,0.24601573,0.45431393,0.5215249,0.38240865,0.58339036,0.3542071,0.50154716,0.07850847,0.3295208,0.31798807
대상,가족,0.48529905,1,0.2771847,0.19422731,0.3931162,0.1453118,0.2070089,0.368352,0.24510399,0.29687142,0.38308674,0.25551593,0.33543506,0.38230556,0.41911438,0.440118,0.37608954,0.35581213,0.48529905,0.22941026,0.4840165,0.26010546
주인공,드라마,0.42622834,8,0.42622834,0.31960437,0.33731195,0.40055498,0.4188752,0.32413778,0.37783256,0.4067459,0.39202717,0.29012507,0.39703748,0.20174965,0.22121686,0.0986034,0.32905722,0.16892815,0.20257807,0.07690167,0.16674934,0.39416695
줄거리,드라마,0.52168053,1,0.52168053,0.40157187,0.26154023,0.44536683,0.4415156,0.23637411,0.38151598,0.3247345,0.4209924,0.34719914,0.44245273,0.18971917,0.1962715,0.086033136,0.26593122,0.20373926,0.14690304,0.18622299,0.26450709,0.29865435
요약,역사,0.576113,1,0.17641711,0.12479739,0.3212334,0.0984435,0.13628525,0.26815468,0.1265068,0.14066963,0.15827487,0.24231851,0.11514152,0.3507222,0.37294093,0.44918942,0.3699918,0.3390277,0.36612767,0.14518453,0.576113,0.19068122
탐사,과학,0.6256165,4,0.28282893,0.1689569,0.3624432,0.18564175,0.2013943,0.40213838,0.19743396,0.38501495,0.24204935,0.449727,0.15747079,0.48146492,0.40244147,0.6256165,0.6031366,0.37200093,0.38681546,0.21282485,0.5705368,0.21638508
모래,모험,0.5150301,1,0.17860502,0.18974347,0.4243516,0.07661708,0.20213148,0.39048943,0.24046421,0.2342606,0.3558041,0.2177464,0.18196005,0.37746373,0.34486488,0.38180685,0.5150301,0.35150176,0.40213844,0.17725182,0.39909828,0.31353348
폭풍,전쟁,0.5293659,6,0.26951483,0.18513301,0.41164336,0.26605937,0.35306635,0.3590412,0.22868438,0.23497124,0.19362472,0.15163267,0.22614564,0.5293659,0.38704774,0.32113138,0.4333872,0.29765764,0.34132,0.075207464,0.31728762,0.36406183
탈출,모험,0.5656064,2,0.24519108,0.3045727,0.44506335,0.2811416,0.24766384,0.48694554,0.245581,0.3369183,0.18425888,0.25716448,0.25100136,0.48696828,0.5242396,0.33998638,0.5656064,0.32261133,0.44428498,0.1262719,0.29647335,0.23514804
사망,전쟁,0.51114994,1,0.09685883,0.06817433,0.3198565,0.14013523,0.07504801,0.28326842,0.043242488,0.17203276,0.09401806,0.19514422,0.103881724,0.51114994,0.4433063,0.271249,0.32641524,0.3376869,0.4964219,0.14075755,0.3707666,0.19930995
판단,범죄,0.39925963,1,0.046997216,0.026533145,0.2938801,0.10816144,0.08858979,0.25844356,0.096996784,0.12789899,0.06596795,0.09131989,-0.02649466,0.20999283,0.39925963,0.2822713,0.2999726,0.1775032,0.22432649,0.15315492,0.32273516,0.09663558
지구,과학,0.5839477,13,0.24511307,0.15127374,0.34098598,0.17358364,0.17253967,0.3689147,0.23528248,0.27872416,0.2850325,0.31818616,0.14634064,0.5131017,0.41397697,0.5839477,0.41293857,0.5393483,0.53213656,0.2163649,0.50684124,0.22629812
귀환,모험,0.5118093,5,0.2340437,0.12759872,0.43142635,0.23353976,0.24244936,0.35810274,0.21419695,0.33947355,0.10470586,0.2832849,0.23700106,0.50727487,0.30752683,0.30319405,0.5118093,0.35210297,0.3821196,0.06606806,0.43503597,0.29471081
화성,가족,0.52467686,19,0.2998094,0.1710635,0.37660804,0.18398023,0.26699245,0.46997526,0.3020115,0.34756458,0.23409359,0.28977513,0.26160657,0.42166027,0.31322774,0.4643794,0.49772823,0.4916324,0.52467686,0.14827916,0.46361828,0.26852608
기지,전쟁,0.579496,1,0.20908107,0.08328968,0.44322205,0.05726946,0.15295117,0.35694453,0.17651884,0.2726428,0.17721468,0.15994594,0.08076264,0.579496,0.3441642,0.49092793,0.43975466,0.4387487,0.41519284,0.121107794,0.55787486,0.19090395
식량,전쟁,0.5230358,5,0.15166046,0.12339441,0.32324857,0.06739417,0.0003205383,0.29682222,0.072205864,0.11628278,0.16414148,0.3002377,0.10453372,0.5230358,0.40517768,0.4588819,0.43358982,0.39069185,0.412491,0.15370771,0.401493,0.13009489
지식,과학,0.64764136,2,0.20891857,0.19846644,0.40436128,0.092171244,0.19267353,0.35577807,0.2802037,0.18673286,0.20468089,0.21495892,0.22125064,0.3636603,0.40816453,0.64764136,0.4441507,0.32738137,0.39734098,0.32144925,0.57252663,0.22919855
활용,역사,0.5039897,2,0.18980747,0.12165989,0.37085438,0.047154833,0.0840955,0.25265026,0.11563554,0.038834564,0.2652292,0.14420632,0.16527492,0.32218814,0.37100792,0.39239195,0.3462673,0.21225734,0.26074654,0.13956673,0.5039897,0.10486602
