액션,8,0.6816941127181053
여행,6,0.5960871477921804
환경,5,0.7466349959373474
동물,5,0.6858365297317505
기대,5,0.671414828300476
가족,5,0.670259428024292
후회,4,0.6842522621154785
드라마,4,0.6668411195278168
정글,4,0.579219788312912
만화,3,0.7659903963406881
사랑,3,0.7555226484934489
방송,3,0.6417962114016215
해양,3,0.586532453695933
꿈,3,0.5346118807792664
슬픔,2,0.8171813488006592
상실,2,0.8066718876361847
분노,2,0.8037275969982147
희망,2,0.7981628477573395
발견,2,0.767225056886673
심리,2,0.6944933235645294
살인,2,0.6898941397666931
욕망,2,0.6353545188903809
기쁨,2,0.6266765296459198
무력감,2,0.6189199388027191
교육,2,0.608861893415451
질서,2,0.5951334834098816
대화,2,0.5851885974407196
로맨스,1,1.0
미래,1,1.0
바다,1,1.0
범죄,1,1.0
이별,1,1.0
코미디,1,1.0
갈등,1,0.8246769905090332
음악,1,0.7329081892967224
경제,1,0.7089344263076782
평등,1,0.7053220272064209
고독,1,0.6896678805351257
전투,1,0.6896240711212158
컴퓨터,1,0.6610336303710938
헌신,1,0.6555296182632446
윤리,1,0.6346501111984253
열정,1,0.6344258189201355
교통,1,0.6121577620506287
재난,1,0.6067242622375488
수색,1,0.6028508543968201
의심,1,0.5979491472244263
유쾌,1,0.5978867411613464
도둑,1,0.5964561700820923
정치,1,0.5872803330421448
전기,1,0.5859465599060059
탐정,1,0.574050784111023
동정,1,0.5653472542762756
신화,1,0.5608668327331543
해적,1,0.5528983473777771
불안,1,0.5471872687339783
철학,1,0.5437271595001221
고문,1,0.537358820438385
의료,1,0.5320938229560852
