만화,6,0.6447238822778066
전투,5,0.5889823794364929
액션,4,0.6859270483255386
충격,3,0.770975391070048
살인,3,0.6633238196372986
성장,3,0.6027546326319376
기쁨,3,0.5864478548367819
도시,3,0.5624740719795227
사랑,2,0.7690259516239166
마법,2,0.6118402183055878
좀비,2,0.5970406234264374
음모,2,0.5937383472919464
발견,2,0.5882008671760559
기대,2,0.5868676602840424
미술,2,0.5825328528881073
신화,2,0.5750437080860138
의심,2,0.5709385275840759
교육,2,0.5703072845935822
가족,1,1.0
유쾌,1,0.732782781124115
여행,1,0.6632397174835205
후회,1,0.6602693200111389
혼란,1,0.6442916989326477
음악,1,0.6411212086677551
판타지,1,0.6410732269287109
폭력,1,0.6382682919502258
슬픔,1,0.6343626976013184
방송,1,0.6307950615882874
개그,1,0.6293163299560547
무력감,1,0.6226179003715515
컴퓨터,1,0.609046220779419
유령,1,0.5887368321418762
희생,1,0.5873818397521973
환경,1,0.5862691402435303
대화,1,0.5852361917495728
정글,1,0.5795666575431824
흡혈귀,1,0.5788726210594177
군대,1,0.5703792572021484
멸망,1,0.5653038620948792
내면,1,0.5602818131446838
철학,1,0.5395932197570801
꿈,1,0.5368646383285522
춤,1,0.5334261655807495
동물,1,0.531106173992157
도둑,1,0.5270234942436218
음식,1,0.5249561071395874
질병,1,0.5124660134315491
