액션,21,0.7648648080371675
교육,19,0.6181416448793913
폭력,16,0.6584122031927109
여행,15,0.6267808675765991
가족,15,0.625192137559255
정치,14,0.6002607004983085
만화,13,0.6519791575578543
음식,13,0.6072024382077731
기대,13,0.5981882948141831
권력,12,0.6070099224646887
성장,11,0.6522135897116228
혼란,11,0.6485413367098029
방송,11,0.6155453053387728
춤,11,0.6030785387212579
독재,10,0.6099180221557617
충격,10,0.6013878345489502
미술,10,0.5847573220729828
갈등,9,0.677827947669559
열정,9,0.6456182731522454
범죄,9,0.6144856479432848
후회,9,0.5828404227892557
음악,8,0.6860852763056755
개그,8,0.6767235547304153
슬픔,8,0.6715183556079865
사랑,8,0.6698359623551369
전투,8,0.6643104329705238
경제,8,0.6398422420024872
발견,8,0.6253173351287842
드라마,8,0.5994161814451218
환경,7,0.7011699506214687
학교,7,0.6689398118427822
분노,7,0.6552086813109261
심리,7,0.654903667313712
기쁨,7,0.6245703186307635
의심,7,0.6205580404826573
추격,7,0.5563931209700448
불안,6,0.7185868322849274
살인,6,0.6895778775215149
군대,6,0.6854005952676138
고통,6,0.684566468000412
전쟁,6,0.6740449368953705
희망,6,0.6512637734413147
배신,6,0.6325327654679617
고독,6,0.6322920918464661
도둑,6,0.5658848285675049
멸망,6,0.5561759074529012
감옥,5,0.712753438949585
저항,5,0.6823436141014099
군사,5,0.6812129259109497
욕망,5,0.6622629284858703
법정,5,0.6416470170021057
철학,5,0.6303234815597534
평등,5,0.6161224007606506
상처,5,0.6141861319541931
질서,5,0.5879948496818542
신화,5,0.5872432112693786
부도덕,5,0.5740387678146363
유쾌,5,0.5552406311035156
해적,4,0.7027607262134552
바다,4,0.6870020776987076
고문,4,0.6818507313728333
윤리,4,0.6671122461557388
미래,4,0.6633777767419815
도시,4,0.6583385467529297
희생,4,0.6458326578140259
도박,4,0.6168635189533234
인형,4,0.6049424558877945
자아,4,0.5962119251489639
수색,4,0.5645563453435898
용서,4,0.5593513548374176
꿈,4,0.5590584576129913
이별,4,0.5574421286582947
가상현실,4,0.550914540886879
헌신,3,0.7473642826080322
뮤지컬,3,0.7117722431818644
교통,3,0.6686497728029887
동물,3,0.5938749512036642
종교,3,0.5929088195164999
마법,3,0.5898613929748535
시골,3,0.5844485561052958
상실,3,0.575883666674296
다큐멘터리,3,0.5501283208529154
의리,3,0.5426121155420939
자기성찰,3,0.5384235382080078
대화,3,0.5375194350878397
좀비,3,0.5242435137430826
의료,3,0.5202822685241699
공포,2,0.8028037548065186
유령,2,0.7648780345916748
과학,2,0.7151400148868561
우주,2,0.6657315194606781
전기,2,0.6490373611450195
탐험,2,0.6480422616004944
해양,2,0.604826033115387
정글,2,0.6027657687664032
미스터리,2,0.600621908903122
재난,2,0.5792835354804993
반란,2,0.5726781189441681
생존,2,0.5660593807697296
음모,2,0.5615443587303162
모험,2,0.5539557337760925
괴담,2,0.5441088974475861
동정,2,0.5412207841873169
음모론,2,0.5369220972061157
언더독,2,0.5246242582798004
내면,1,1.0
두려움,1,1.0
로맨스,1,1.0
인간성,1,1.0
판타지,1,1.0
질병,1,0.7063292264938354
연애,1,0.6863196492195129
절망,1,0.6734789609909058
코미디,1,0.6240517497062683
용기,1,0.6211519241333008
괴물,1,0.619871199131012
죄책감,1,0.6118570566177368
시민운동,1,0.6024901866912842
탐정,1,0.5862163305282593
정신병,1,0.575529932975769
컴퓨터,1,0.5683847665786743
외계인,1,0.5466403365135193
복수,1,0.5351294279098511
복고,1,0.5281141996383667
서바이벌,1,0.517444372177124
자존심,1,0.5142337679862976
