만화,3,0.7798016468683878
사랑,3,0.6945829391479492
드라마,2,0.765897274017334
음악,2,0.6870146989822388
방송,2,0.6577607095241547
꿈,2,0.5932990610599518
대화,2,0.575750470161438
의심,2,0.5503181219100952
로맨스,1,1.0
질병,1,0.7015629410743713
기쁨,1,0.6783162951469421
폭력,1,0.6747787594795227
여행,1,0.6466491222381592
액션,1,0.6233081817626953
경제,1,0.6143816113471985
과학,1,0.614375114440918
의료,1,0.6069163680076599
모험,1,0.6051297187805176
교육,1,0.6049222946166992
환경,1,0.5862691402435303
가족,1,0.582758903503418
공포,1,0.5716024041175842
희망,1,0.5663730502128601
윤리,1,0.563416063785553
후회,1,0.505795419216156
